,Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
281,16/09/16,1.0,0.03,11.1,18.8,4.6,266,46.8
282,10/08/20,1.4,0.25,17.8,35.5,0.0,677,25.2
283,30/10/20,1.05,0.1,12.6,15.9,0.0,0,40.7
284,21/06/21,1.5,0.2,15.7,24.9,3.8,423,61.2
285,18/10/19,1.15,0.2,11.5,16.3,3.8,268,64.8
286,02/09/19,1.35,0.5,7.0,22.9,0.0,719,33.1
287,02/08/19,1.55,0.45,14.4,28.3,0.0,780,32.4
288,16/07/19,1.9,0.34,9.3,27.3,0.0,876,36.0
289,28/06/19,1.75,0.12,18.2,33.7,0.0,869,36.0
290,25/10/17,1.15,0.2,13.8,19.5,0.2,242,28.8
291,16/10/17,1.15,0.58,12.6,25.3,0.0,575,29.9
292,05/10/17,1.15,1.09,7.9,17.5,0.8,297,43.2
293,03/10/17,1.15,0.19,10.5,17.8,0.0,195,37.1
294,12/09/17,1.1,0.1,11.3,19.5,1.2,205,59.8
295,21/07/17,1.1,0.12,11.3,25.3,1.2,736,58.3
296,19/07/17,1.25,0.08,23.2,28.2,0.0,306,57.6
297,26/09/16,1.0,0.04,8.2,21.3,0.0,240,24.1
298,30/08/16,1.3,0.14,13.1,26.8,0.0,678,39.6
299,01/08/16,1.3,0.48,11.8,24.6,0.0,654,37.1
300,20/06/16,1.4,0.25,13.5,16.8,4.4,8,49.0
301,12/08/15,0.8,0.92,19.0,34.0,0.8,552,37.1
302,28/07/15,1.5,0.08,12.8,19.5,3.4,210,44.6
303,15/07/15,1.1,0.96,12.5,32.0,0.0,888,25.9
304,07/07/15,1.3,0.448,15.0,28.1,0.0,342,55.6
305,22/07/14,1.0,0.5,14.5,23.8,0.0,332,37.1
306,09/07/14,1.1,0.7,10.9,18.0,10.6,54,42.6
307,17/09/13,0.7,0.08,8.1,17.0,2.0,2,61.1
308,05/08/13,1.0,1.76,13.7,29.1,0.2,654,46.8
309,25/07/13,1.05,3.5,16.3,29.5,30.3,464,29.2
310,22/07/13,1.05,1.6,17.3,34.3,0.0,535,36.0
311,11/10/12,1.0,0.6,13.6,19.6,7.0,108,29.6
312,18/06/12,1.3,0.9,12.7,20.7,0.0,438,31.0
313,05/07/19,2.0,0.2,11.6,32.1,0.0,900,39.6
314,10/07/13,1.2,0.512,14.5,28.4,0.0,804,45.0
315,09/07/13,1.25,0.56,15.3,28.9,0.0,810,46.8
316,02/07/13,1.2,0.56,12.9,25.8,0.2,432,33.8
317,29/06/12,1.2,0.4,14.3,24.4,0.0,180,37.8
318,16/09/20,1.0,0.32,15.1,30.8,0.0,444,40.0
319,27/08/20,1.45,0.11,10.8,26.5,0.0,306,58.7
320,07/08/20,1.5,0.35,15.2,37.2,0.0,822,30.2
321,31/07/20,1.5,0.26,16.9,36.8,0.2,515,69.5
322,16/09/19,1.6,0.05,9.6,28.5,0.0,703,32.4
323,29/07/19,1.55,0.28,9.8,29.1,0.0,857,61.2
324,27/06/19,1.85,0.04,20.1,34.4,0.0,903,43.2
325,25/06/19,1.5,0.1,17.0,32.6,0.0,870,28.8
326,25/09/18,1.5,0.05,3.9,17.8,0.0,675,54.7
327,31/08/17,1.4,0.85,10.1,20.6,0.0,580,36.0
328,27/07/17,1.45,0.18,16.8,21.8,1.2,114,54.0
329,28/10/16,1.0,0.09,4.1,14.4,0.2,552,27.8
330,14/10/16,1.0,0.12,8.9,12.4,3.0,0,30.6
331,10/10/16,1.0,0.04,1.6,15.1,0.0,422,38.9
332,20/09/16,1.0,0.08,11.7,20.8,0.2,132,24.5
333,02/08/16,1.25,0.192,16.2,24.9,0.6,12,48.2
334,04/08/15,0.9,0.04,17.8,25.7,0.0,486,54.4
335,27/08/14,1.0,0.8,12.8,20.7,0.8,6,35.3
336,19/08/14,0.7,0.1,7.4,20.5,0.0,570,35.3
337,17/07/14,1.0,1.0,16.1,31.6,0.0,846,35.6
338,25/09/12,0.9,0.37,11.4,15.8,1.8,18,59.3
339,11/09/12,1.0,0.88,14.7,20.3,10.2,30,38.9
340,04/09/12,1.1,0.4,12.8,25.7,0.0,672,37.0
341,21/08/12,1.2,0.4,18.4,30.8,0.0,672,35.2
342,14/08/12,1.1,1.0,13.5,24.4,0.0,48,24.1
343,09/07/14,1.2,0.3,9.6,23.4,0.0,584,38.9
344,17/06/13,1.5,0.02,15.0,27.2,6.8,210,61.1
345,18/09/12,1.1,0.18,10.3,20.1,0.0,126,34.2
346,11/09/20,1.05,0.5,14.1,28.2,0.0,552,29.5
347,19/08/19,1.5,0.45,11.9,23.5,0.0,597,37.4
348,13/08/19,1.75,0.04,7.3,22.4,0.0,529,39.6
349,19/07/19,1.63,0.4,15.7,28.9,0.0,877,43.6
350,16/10/18,1.5,0.2,12.9,24.5,0.0,593,25.2
351,18/10/17,1.1,0.26,12.0,21.4,0.0,98,21.6
352,05/09/17,1.1,0.08,16.7,23.2,0.0,96,44.3
353,26/06/17,1.4,1.0,13.7,28.2,0.0,124,29.9
354,22/07/16,1.4,0.46,15.4,27.5,0.0,474,32.4
355,12/07/16,1.3,0.4,12.3,23.6,0.6,306,46.4
356,30/06/16,1.15,7.68,15.4,22.3,4.9,175,48.2
357,21/06/16,1.4,0.08,15.3,21.5,1.0,60,34.2
358,08/09/15,0.8,0.12,9.3,20.0,0.2,245,40.7
359,22/07/15,1.05,0.04,18.0,28.3,0.0,522,37.0
360,29/08/14,0.8,0.1,12.6,22.8,0.2,414,40.7
361,28/08/14,0.7,1.5,15.7,23.7,0.0,366,50.0
362,22/08/13,0.5,7.44,12.7,28.0,0.0,661,44.4
363,23/07/13,1.1,0.1,18.8,31.1,0.2,491,46.3
364,31/07/12,1.3,0.3,11.5,24.6,0.2,619,31.5
365,13/07/12,1.2,0.7,13.4,17.1,27.6,42,44.6
366,10/07/12,1.2,0.5,13.8,19.0,0.0,6,39.2
367,01/10/20,1.7,0.1,12.8,16.6,11.1,107,51.5
368,11/09/20,1.75,0.5,14.1,28.2,0.0,552,29.5
369,02/09/19,1.9,0.55,7.0,22.9,0.0,366,33.8
370,08/07/13,1.15,2.91,15.7,28.4,0.0,876,44.6
371,05/07/13,1.2,0.8959999999999999,12.2,25.2,0.0,534,28.4
372,04/07/13,1.2,1.04,10.4,20.9,0.2,234,25.9
373,04/12/20,1.5,0.1,2.9,6.6,0.8,256,65.9
374,28/09/20,1.0,0.05,11.7,18.1,0.4,145,40.7
375,24/09/20,1.1,0.1,9.8,18.2,8.1,200,68.4
376,25/08/20,1.6,0.09,14.6,29.1,0.0,366,68.4
377,18/08/20,1.4,0.15,17.7,27.0,0.0,328,50.4
378,06/08/20,1.5,0.2,12.6,34.8,0.0,822,25.9
379,09/09/19,1.6,0.4,4.9,20.0,2.0,270,69.8
380,09/08/19,1.9,0.06,20.1,28.3,5.9,222,57.6
381,01/08/19,1.8,0.48,11.1,27.1,0.0,489,36.4
382,30/07/19,1.55,0.28,16.1,25.1,0.0,523,68.4
383,18/07/19,1.7,0.2,13.7,27.6,0.0,660,54.0
384,10/10/17,1.15,0.05,11.0,16.5,0.0,26,36.0
385,02/10/17,1.15,1.38,14.4,19.5,5.9,67,46.8
386,29/09/17,1.2,0.38,15.0,25.5,10.3,409,32.4
387,05/07/17,1.3,0.24,13.9,33.4,0.8,658,32.4
388,30/06/17,1.3,0.58,13.4,18.7,1.6,123,43.2
389,22/06/17,1.45,0.12,20.8,35.3,0.0,774,40.0
390,24/10/16,1.0,0.09,7.8,14.3,1.8,0,24.8
391,17/10/16,1.2,0.11,9.9,18.7,0.4,258,35.6
392,23/09/16,1.0,0.28,10.3,25.3,0.0,636,20.9
393,22/09/16,1.0,0.47,8.2,23.5,0.0,433,26.3
394,24/08/15,0.8,0.8320000000000001,15.2,19.9,1.0,168,92.6
395,18/08/15,0.8,0.4,10.6,23.7,0.0,420,25.9
